national microbiology laboratory	49.9081626	-97.1635929
University of California, Santa Cruz	36.9915847	-122.0582771
Changwon National University	35.2456016	128.691895
Houston Methodist Hospital	29.7114476	-95.39998639999999
NRL	38.8222037	-77.01972289999999
NIH	39.0276968	-77.1366178
Nanjing Agricultrual University	32.033955	118.839786
Saga University	33.2420542	130.2915283
MR DNA	33.68669970000001	-101.9952756
ALTANA Pharma	43.441555	-79.7068044
Dalian University of Technology	38.880381	121.529021
Teagasc, Food research centre, Moorepark, Fermoy, Co. Cork, Ireland	52.163365	-8.2596244
SUN YAT-SEN UNIVERSITY	23.0965384	113.298883
Korea Centers for Disease Control and Prevention	33.7993178	-84.328008
CIMIC Uniandes	4.6014855	-74.06644570000002
Chinese National Human Genome Center at Shanghai	31.2075382	121.5825695
Stonehill College	42.0590153	-71.0806276
ERIC	36.3226054	-95.6044534
University of Iceland	64.1396203	-21.9518896
International Centre for Genetic Engineering and Biotechnology	28.52978	77.1681579
Laboratory of Probiogenomics, Department of genetics, university of Parma, Italy	44.7673695	10.3137706
National Bureau of Agricultrally Important Microorganisms	25.8974994	83.48826439999999
The National Agriculture and Food Research Organization	36.0281236	140.1021163
Universidade Federal de Uberlandia	-18.9186442	-48.2577984
UC Santa Cruz	36.9915847	-122.0582771
Hofstra University	40.716792	-73.5994041
Tan Tock Seng Hospital	1.3217035	103.8462643
Nagoya University Graduate School of Medicine	35.1582604	136.9209243
California Institute of Technology	34.1376576	-118.125269
The Open University of Japan	35.6532832	140.0497413
Universidad de Chile	-33.4445204	-70.6509277
WAGENINGEN UNIVERSITY	51.9845558	5.6657696
Umea University, Sweden	63.82054839999999	20.3036711
Anhui University of Traditional Chinese Medicine	31.852262	117.260877
University of Manitoba	49.8075008	-97.1366259
Suranaree University of Technology	14.8817715	102.0206962
Fondazione Edmund Mach	46.194862	11.1351432
State key lab of food science and technology, Jiangnan University	31.482675	120.277464
Universidade do Vale do Itajaí (UNIVALI)	-26.9162289	-48.6640826
Strathclyde Institute of Pharmacy and Biomedical Science, University of Strathclyde	55.86285969999999	-4.2416073
Dalian University of Technology 	38.880381	121.529021
DOE Great Lakes Bioenergy Research Center	43.0737517	-89.4140237
Clark University	42.2523452	-71.82467029999999
No. 17 Qinghua East Road, Hai-dian District	40.006037	116.358377
CosmosID	39.0941963	-77.1315999
University of Boras	57.72466499999999	12.939993
UC SANTA CRUZ	36.9915847	-122.0582771
University of York	53.9455334	-1.0561667
University of New Mexico	35.0843187	-106.6197812
Biomedical Science, Cornell University	42.4534492	-76.4735027
WAGENINGEN UNIVERSITY, LABORATORY OF SYSTEMS AND SYNTHETIC BIOLOGY.	51.9845558	5.6657696
Kangwon national university	37.8694561	127.7444707
University of Wisconsin - Milwaukee	43.078263	-87.88196859999999
National Centre for Cell Science	18.5471922	73.83154789999999
UM-UNSW-MGRC	-33.917347	151.2312675
Radboud University	51.8193148	5.8568877
Gifu University, Life Science Research Center, Japan	35.4662236	136.7365752
Technological Educational Institute of Crete	35.3176281	25.1024121
Japan Atomic Energy Agency	37.09024	-95.712891
University of Oslo 	59.9399586	10.7217496
CMEG University of Pretoria	-25.7545492	28.2314476
ChunLab, Inc.	37.4831648	127.021223
ZheJiang University	30.263944	120.123279
department of life, USTC	31.821994	117.28059
SOUTHWEST MEDICAL UNIVERSITY	28.882371	105.444623
MACS Agharkar Research Institute	18.5206977	73.8316018
State University of Londrina	-23.3241256	-51.2017671
State Key Laboratory for Infectious Disease Prevention and Control, National Institute for Communicable Disease Control and Prevention, China CDC	35.86166	104.195397
HHU Duesseldorf	51.1888113	6.794503
Chung Shan Medical University	24.1220507	120.6502214
Shanghai Jiao Tong University	31.201001	121.432841
Department of Microbiology, University of Kaiserslautern	49.4253774	7.755549599999999
